NroItem;CodTransaccion;NroSerial;CodCampus;NroFormulario;Nombre;Ubicación;Proveedor;EmpresaResponsable;Estado;codebar
190;327;Sin serial ;000000;966217823;Mouse - Bodg50-9051-900-0017 GMR ESC   ;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
191;327;Sin serial ;000000;966217823;CPU-Bodg50-9048-900-0044 GMRESC R3;Salón Sputnik;Compumax Computer ;Campuslands;0;*000000*
192;327;400SN39175;000000;966217823;CPU-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
193;327;COM2024CM21070257;000000;966217823;Monitor-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
194;327;KBM130091739;000000;966217823;Teclado-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
195;327;Sin serial ;000000;966217823;Mouse-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
196;327;400SN39206;000000;966217823;CPU-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
197;327;COM2024CM21070609;000000;966217823;Monitor-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
198;327;KBM130091743;000000;966217823;Teclado-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
199;327;Sin serial ;000000;966217823;Mouse-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
200;327;400SN39212;000000;966217823;CPU-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
201;327;COM2024CM21070778;000000;966217823;Monitor-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
202;327;KBM130090742;000000;966217823;Teclado-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
203;327;Sin serial ;000000;966217823;Mouse-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
204;327;400SN39217;000000;966217823;CPU-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
205;327;COM2024CM21070069;000000;966217823;Monitor-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
206;327;KBM130091742;000000;966217823;Teclado-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
207;327;Sin serial ;000000;966217823;Mouse-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
208;327;400SN39203;000000;966217823;CPU-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
209;327;COM2024CM21070349;000000;966217823;Monitor-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
210;327;KBM130090743;000000;966217823;Teclado-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
211;327;Sin serial ;000000;966217823;Mouse-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
212;327;400SN39201;000000;966217823;CPU-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
213;327;COM2024CM21070004;000000;966217823;Monitor-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
214;327;KBM130091710;000000;966217823;Teclado-Bodg50-9048-900-0044 GMRESC R3;Salón Apolo;Compumax Computer ;Campuslands;0;*000000*
